DataZone,Freq.,Percent,Cum.
S01013312,1,0.13,96.9
S01013315,4,0.52,97.42
S01013354,2,0.26,97.67
S01013373,1,0.13,97.8
S01013377,1,0.13,97.93
S01013378,1,0.13,98.06
S01013393,1,0.13,98.19
S01013402,1,0.13,98.32
S01013407,2,0.26,98.58
S01013416,2,0.26,98.84
S01013435,1,0.13,98.97
S01013436,1,0.13,99.1
S01013438,1,0.13,99.22
S01013439,1,0.13,99.35
S01013445,1,0.13,99.48
S01013447,2,0.26,99.74
S01013460,1,0.13,99.87
S01013467,1,0.13,100
